time,mom_50,mom_250,ema_50,ema_250,rsi_50,rsi_250,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-15,-6.2445,266.8555,527.7864,428.83,50.4758,54.5413,529.12,533.01,513.94,514.38,514.38,6944532,0.0,1.0
2021-01-14,24.9302,279.1478,528.3336,428.1429,51.965,54.9435,543.0,543.99,527.22,528.01,528.01,7078007,0.0,1.0
2021-01-13,40.0597,292.7572,528.3468,427.3407,53.469,55.3388,539.5986,544.9999,535.4001,541.27,541.27,5250711,0.0,1.0
2021-01-12,18.5855,294.2316,527.8194,426.4256,53.2811,55.2934,550.1,550.18,533.8,539.39,539.39,7178074,0.0,1.0
2021-01-11,39.9308,297.9944,527.3471,425.5183,53.9017,55.4569,536.75,558.44,534.5,544.86,544.86,12975720,0.0,1.0
2021-01-08,-4.64,279.5123,526.6323,424.5597,52.5359,55.1237,534.5,536.8399,521.68,531.07,531.07,7313215,0.0,1.0
2021-01-07,8.2669,289.8495,526.4512,423.7042,52.8352,55.2039,518.7,535.11,515.4601,533.76,533.76,11537037,0.0,1.0
2021-01-06,-38.8677,261.9673,526.1528,422.8202,49.7951,54.4884,528.9,529.8,503.44,504.58,504.58,14510575,0.0,1.0
2021-01-05,1.9095,296.2129,527.0334,422.1635,53.4527,55.4439,523.99,537.74,523.48,536.19,536.19,8068998,0.0,1.0
2021-01-04,-16.2885,285.0121,526.6596,421.2476,52.1842,55.1553,524.17,546.0999,518.5,524.54,524.54,14016045,0.0,1.0

