time,mom_50,mom_250,ema_50,ema_250,rsi_50,rsi_250,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-15,11.63,37.16,89.8701,70.5222,52.0883,54.9909,90.75,91.59,87.86,88.21,88.21,49340338,0.0,1.0
2021-01-14,16.09,39.86,89.9379,70.3801,53.7267,55.4257,91.77,92.36,90.45,90.79,90.79,53408241,0.0,1.0
2021-01-13,16.49,42.01,89.9031,70.2162,54.3698,55.5936,93.01,93.89,90.84,91.78,91.78,60712896,0.0,1.0
2021-01-12,17.335,46.81,89.8265,70.043,56.7748,56.2062,97.86,98.97,94.07,95.355,95.355,67435038,0.0,1.0
2021-01-11,20.85,49.04,89.6009,69.8397,58.1101,56.5352,94.025,99.23,93.76,97.25,97.25,48669103,0.0,1.0
2021-01-08,15.7,45.835,89.2886,69.6195,56.7041,56.1753,95.98,96.4,93.27,94.58,94.58,39816400,0.0,1.0
2021-01-07,12.93,46.995,89.0727,69.419,57.1122,56.2761,91.33,95.51,91.2,95.16,95.16,42897157,0.0,1.0
2021-01-06,8.37,41.36,88.8242,69.2123,54.4361,55.6154,91.62,92.28,89.46,90.33,90.33,51911657,0.0,1.0
2021-01-05,13.35,44.94,88.7628,69.0426,56.1713,56.0415,92.1,93.2077,91.41,92.77,92.77,34207989,0.0,1.0
2021-01-04,13.1,44.05,88.5992,68.8521,55.906,55.9768,92.11,96.06,90.915,92.3,92.3,51802552,0.0,1.0
