time,mom_50,mom_250,ema_50,ema_250,rsi_50,rsi_250,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-15,55.84,1212.25,3174.2875,2810.5602,49.5305,53.6373,3123.02,3142.545,3095.17,3104.25,3104.25,4243995,0.0,1.0
2021-01-14,122.99,1262.75,3177.1461,2808.2012,50.0524,53.77,3167.52,3177.9999,3120.59,3127.47,3127.47,3070919,0.0,1.0
2021-01-13,129.74,1287.95,3179.1737,2805.6368,50.9224,53.9901,3128.44,3189.95,3122.08,3165.89,3165.89,3321244,0.0,1.0
2021-01-12,-90.18,1258.81,3179.7159,2802.7432,49.9219,53.7691,3120.0,3142.1418,3086.0,3120.83,3120.83,3418549,0.0,1.0
2021-01-11,-48.57,1244.77,3182.1194,2800.1883,49.7745,53.7365,3148.01,3156.3841,3110.0,3114.21,3114.21,3669095,0.0,1.0
2021-01-08,-103.63,1291.4,3184.8912,2797.666,51.3058,54.1289,3180.0,3190.64,3142.2,3182.7,3182.7,3537744,0.0,1.0
2021-01-07,-44.88,1279.0,3184.9807,2794.5734,50.8615,54.0286,3157.0,3208.542,3155.0,3162.16,3162.16,3514545,0.0,1.0
2021-01-06,-66.02,1237.33,3185.9121,2791.6209,50.3475,53.9125,3146.48,3197.509,3131.16,3138.38,3138.38,4394815,0.0,1.0
2021-01-05,42.11,1326.54,3187.8522,2788.8357,52.1488,54.3736,3166.01,3223.38,3165.06,3218.51,3218.51,2655548,0.0,1.0
2021-01-04,1.69,1279.77,3186.6009,2785.3845,51.4719,54.2184,3270.0,3272.0,3144.02,3186.63,3186.63,4411449,0.0,1.0
