time,mom_50,mom_250,ema_50,ema_250,rsi_50,rsi_250,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-15,-13.94,29.92,268.8781,244.4147,46.6943,51.6628,247.9,253.86,247.16,251.36,251.36,24942930,0.0,1.0
2021-01-14,-15.72,23.5,269.5931,244.3589,45.281,51.3645,253.4,255.03,244.61,245.64,245.64,29739404,0.0,1.0
2021-01-13,-11.47,29.87,270.5708,244.3486,46.5497,51.6978,251.55,253.95,249.2,251.64,251.64,19528938,0.0,1.0
2021-01-12,-29.74,29.94,271.3435,244.29,46.4149,51.6692,256.63,259.72,250.3,251.09,251.09,25772128,0.0,1.0
2021-01-11,-10.83,37.78,272.1702,244.2354,47.6467,51.9901,260.48,263.47,255.9,256.84,256.84,30412286,0.0,1.0
2021-01-08,-15.72,45.66,272.7959,244.1342,50.0773,52.5973,268.31,268.95,263.18,267.57,267.57,18528251,0.0,1.0
2021-01-07,-8.37,50.68,273.0092,243.9459,50.3518,52.664,265.9,271.61,264.78,268.74,268.74,15789756,0.0,1.0
2021-01-06,-21.48,45.01,273.1835,243.7468,49.0825,52.3845,262.0,267.75,260.01,263.31,263.31,24354149,0.0,1.0
2021-01-05,-7.15,55.75,273.5865,243.5897,50.8808,52.8228,268.29,272.4,268.2111,270.97,270.97,9871557,0.0,1.0
2021-01-04,-9.79,55.88,273.6933,243.3697,50.4089,52.7184,274.78,275.0,265.2,268.94,268.94,15106113,0.0,1.0
