time,mom_50,mom_250,ema_50,ema_250,rsi_50,rsi_250,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-15,6.7662,47.8959,215.9905,195.0884,50.1376,53.4701,213.52,214.51,212.03,212.65,212.65,31746512,0.0,1.0
2021-01-14,11.2254,47.6722,216.1268,194.9474,50.2776,53.502,215.91,217.46,212.74,213.02,213.02,29346737,0.0,1.0
2021-01-13,14.4057,51.9124,216.2537,194.8022,51.5429,53.7894,214.02,216.76,213.9266,216.34,216.34,20087080,0.0,1.0
2021-01-12,10.7517,53.4611,216.2501,194.6292,51.03,53.6842,216.5,217.1,213.3202,214.93,214.93,23148341,0.0,1.0
2021-01-11,15.3463,57.0601,216.304,194.4662,52.0096,53.9061,218.47,218.91,216.73,217.49,217.49,23047029,0.0,1.0
2021-01-08,6.9343,58.0521,216.2556,194.2812,52.8366,54.0914,218.68,220.58,217.0261,219.62,219.62,22956206,0.0,1.0
2021-01-07,8.7659,58.6418,216.1183,194.0777,52.3732,53.9931,214.04,219.34,213.71,218.29,218.29,27694480,0.0,1.0
2021-01-06,-3.4079,51.8597,216.0296,193.8832,50.1951,53.5428,212.17,216.4899,211.94,212.25,212.25,35930653,0.0,1.0
2021-01-05,3.5786,59.4887,216.1839,193.7357,52.3915,54.0355,217.26,218.52,215.7,217.9,217.9,23822953,0.0,1.0
2021-01-04,3.4584,61.7624,216.1139,193.5416,52.3155,54.0199,222.53,223.0,214.81,217.69,217.69,37130139,0.0,1.0
