time,mom_50,mom_250,ema_50,ema_250,rsi_50,rsi_250,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-01-15,10.76,159.87,507.5827,458.9763,49.8368,52.3303,500.0,506.32,495.1,497.98,497.98,5895788,0.0,1.0
2021-01-14,16.74,161.19,507.9746,458.663,50.1667,52.4075,507.35,514.5,499.58,500.86,500.86,4177357,0.0,1.0
2021-01-13,32.05,169.17,508.265,458.3241,50.962,52.5937,495.5012,512.3542,493.01,507.79,507.79,5032099,0.0,1.0
2021-01-12,-9.96,155.18,508.2844,457.9267,49.4268,52.2638,500.0,501.09,485.6701,494.25,494.25,5955729,0.0,1.0
2021-01-11,12.86,160.41,508.8573,457.635,49.976,52.3938,507.84,510.725,497.95,499.1,499.1,3812720,0.0,1.0
2021-01-08,21.47,171.48,509.2555,457.3019,51.277,52.6982,511.31,513.24,504.51,510.4,510.4,2973949,0.0,1.0
2021-01-07,20.65,179.84,509.2088,456.8754,51.1103,52.6616,508.28,516.44,506.42,508.89,508.89,3686448,0.0,1.0
2021-01-06,12.21,164.83,509.2218,456.4577,50.1813,52.4578,511.97,513.0998,499.5,500.49,500.49,5346210,0.0,1.0
2021-01-05,35.57,181.54,509.5782,456.104,52.5473,53.0074,521.55,526.78,515.89,520.8,520.8,3133872,0.0,1.0
2021-01-04,33.81,192.11,509.1202,455.5843,52.7948,53.0636,539.0,540.8,515.085,522.86,522.86,4444407,0.0,1.0
